Math,Science,English,Pass/Fail
98,41,11,fail
12,23,84,fail
26,25,82,fail
33,90,80,pass
9,90,13,fail
43,27,65,fail
68,98,13,fail
31,80,12,fail
67,46,44,fail
96,20,17,fail
71,90,55,pass
14,43,58,fail
37,3,31,fail
98,45,14,fail
9,48,39,fail
79,23,97,pass
13,17,88,fail
48,59,93,pass
76,90,71,pass
100,27,99,pass
88,22,4,fail
75,59,40,fail
93,2,48,fail
62,56,94,pass
37,32,5,fail
88,74,4,fail
89,88,28,pass
25,88,54,fail
35,15,9,fail
13,70,92,fail
12,52,94,fail
49,16,50,fail
21,68,78,fail
11,61,4,fail
35,44,95,fail
92,37,10,fail
18,92,96,pass
97,99,6,pass
67,81,86,pass
93,68,14,fail
95,62,96,pass
40,6,24,fail
11,43,98,fail
85,41,36,fail
2,74,84,fail
1,54,80,fail
63,66,15,fail
37,81,72,pass
10,69,97,fail
94,79,89,pass
6,26,34,fail
12,14,43,fail
44,0,55,fail
3,91,91,pass
25,1,25,fail
22,9,12,fail
12,53,16,fail
28,32,49,fail
71,66,54,pass
40,94,61,pass
95,46,84,pass
95,38,76,pass
5,4,67,fail
56,81,62,pass
18,54,89,fail
75,50,15,fail
11,91,0,fail
92,97,5,pass
18,64,30,fail
56,6,9,fail
70,22,7,fail
23,26,28,fail
87,49,21,fail
36,100,81,pass
25,87,92,pass
14,15,56,fail
48,46,67,fail
57,21,38,fail
19,91,32,fail
84,1,44,fail
7,86,11,fail
7,16,91,fail
78,89,80,pass
3,70,84,fail
63,36,63,fail
80,65,93,pass
33,28,91,fail
32,16,98,fail
55,9,100,fail
77,30,83,pass
31,23,43,fail
68,59,15,fail
32,0,3,fail
75,60,73,pass
0,78,19,fail
8,90,28,fail
53,9,10,fail
51,97,4,fail
52,24,67,fail
43,36,47,fail
33,60,47,fail
68,57,46,fail
40,5,16,fail
18,63,93,fail
77,27,49,fail
36,52,9,fail
18,37,31,fail
80,5,26,fail
100,18,99,pass
53,87,51,pass
18,57,34,fail
71,67,33,fail
83,57,52,pass
36,87,91,pass
93,0,79,fail
38,23,49,fail
86,7,29,fail
9,62,65,fail
55,15,58,fail
44,77,68,pass
88,19,85,pass
96,67,93,pass
0,97,98,pass
56,72,68,pass
36,100,70,pass
64,99,59,pass
78,100,14,pass
68,44,90,pass
100,25,95,pass
84,64,71,pass
90,74,40,pass
91,51,77,pass
91,52,53,pass
91,2,91,pass
100,50,48,pass
73,77,79,pass
90,92,98,pass
84,50,53,pass
62,76,87,pass
92,13,85,pass
70,94,34,pass
98,80,54,pass
77,95,21,pass
61,36,100,pass
85,95,28,pass
86,80,17,pass
51,84,79,pass
56,75,98,pass
92,1,94,pass
85,71,49,pass
93,60,80,pass
40,74,73,pass
100,93,86,pass
79,69,51,pass
69,91,78,pass
88,39,82,pass
35,80,70,pass
81,59,100,pass
87,89,39,pass
81,18,87,pass
91,99,75,pass
79,84,51,pass
75,40,85,pass
53,71,68,pass
72,100,63,pass
80,65,92,pass
94,25,99,pass
58,63,89,pass
91,62,69,pass
86,3,99,pass
85,94,90,pass
58,86,80,pass
70,29,85,pass
71,85,51,pass
58,93,35,pass
32,86,70,pass
77,82,35,pass
90,88,23,pass
78,89,17,pass
95,83,16,pass
99,55,40,pass
98,10,74,pass
96,49,68,pass
25,100,58,pass
99,78,80,pass
87,74,21,pass
83,83,95,pass
30,92,58,pass
56,94,55,pass
82,52,64,pass
41,54,92,pass
87,53,45,pass
98,90,33,pass
59,50,72,pass
73,55,95,pass
31,65,93,pass
87,97,95,pass
63,81,53,pass
16,84,90,pass
77,49,64,pass
50,73,64,pass
99,88,62,pass
92,35,76,pass
72,98,85,pass
92,68,68,pass
86,54,94,pass
82,91,25,pass
91,95,7,pass
69,81,61,pass
26,73,99,pass
99,58,66,pass
97,93,36,pass
72,46,65,pass
81,82,96,pass
97,42,80,pass
90,92,70,pass
81,97,19,pass
91,80,61,pass
